repo,skill_name,agents
https://github.com/5kahoisaac/opencode-historian/tree/main/src,mnemonics,opencode
affaan-m/everything-claude-code,ai-regression-testing,opencode
affaan-m/everything-claude-code,android-clean-architecture,opencode
affaan-m/everything-claude-code,api-design,opencode
affaan-m/everything-claude-code,backend-patterns,opencode
affaan-m/everything-claude-code,coding-standards,opencode
affaan-m/everything-claude-code,compose-multiplatform-patterns,opencode
affaan-m/everything-claude-code,configure-ecc,opencode
affaan-m/everything-claude-code,continuous-learning,opencode
affaan-m/everything-claude-code,continuous-learning-v2,opencode
affaan-m/everything-claude-code,cpp-coding-standards,opencode
affaan-m/everything-claude-code,cpp-testing,opencode
affaan-m/everything-claude-code,django-patterns,opencode
affaan-m/everything-claude-code,django-tdd,opencode
affaan-m/everything-claude-code,django-verification,opencode
affaan-m/everything-claude-code,e2e-testing,opencode
affaan-m/everything-claude-code,eval-harness,opencode
affaan-m/everything-claude-code,frontend-patterns,opencode
affaan-m/everything-claude-code,frontend-slides,opencode
affaan-m/everything-claude-code,golang-patterns,opencode
affaan-m/everything-claude-code,golang-testing,opencode
affaan-m/everything-claude-code,iterative-retrieval,opencode
affaan-m/everything-claude-code,java-coding-standards,opencode
affaan-m/everything-claude-code,kotlin-coroutines-flows,opencode
affaan-m/everything-claude-code,kotlin-exposed-patterns,opencode
affaan-m/everything-claude-code,kotlin-ktor-patterns,opencode
affaan-m/everything-claude-code,kotlin-patterns,opencode
affaan-m/everything-claude-code,kotlin-testing,opencode
affaan-m/everything-claude-code,laravel-plugin-discovery,opencode
affaan-m/everything-claude-code,laravel-verification,opencode
affaan-m/everything-claude-code,laravel-patterns,opencode
affaan-m/everything-claude-code,laravel-tdd,opencode
affaan-m/everything-claude-code,mcp-server-patterns,opencode
affaan-m/everything-claude-code,perl-patterns,opencode
affaan-m/everything-claude-code,perl-testing,opencode
affaan-m/everything-claude-code,plankton-code-quality,opencode
affaan-m/everything-claude-code,project-guidelines-example,opencode
affaan-m/everything-claude-code,python-patterns,opencode
affaan-m/everything-claude-code,python-testing,opencode
affaan-m/everything-claude-code,rust-patterns,opencode
affaan-m/everything-claude-code,rust-testing,opencode
affaan-m/everything-claude-code,springboot-patterns,opencode
affaan-m/everything-claude-code,springboot-tdd,opencode
affaan-m/everything-claude-code,springboot-verification,opencode
affaan-m/everything-claude-code,strategic-compact,opencode
affaan-m/everything-claude-code,tdd-workflow,opencode
affaan-m/everything-claude-code,verification-loop,opencode
anthropics/skills,algorithmic-art,opencode
anthropics/skills,docx,opencode
anthropics/skills,frontend-design,opencode
anthropics/skills,pdf,opencode
anthropics/skills,pptx,opencode
anthropics/skills,skill-creator,opencode
anthropics/skills,xlsx,opencode
apollographql/skills,rust-best-practices,opencode
brianlovin/claude-config,simplify,opencode
coreyhaines31/marketingskills,copywriting,opencode
coreyhaines31/marketingskills,seo-audit,opencode
davila7/claude-code-templates,markitdown,opencode
figma/mcp-server-guide,figma-implement-design,opencode
figma/mcp-server-guide,figma-create-design-system-rules,opencode
github/awesome-copilot,git-commit,opencode
github/awesome-copilot,create-readme,opencode
github/awesome-copilot,documentation-writer,opencode
gracefullight/stock-checker,stock-analysis,opencode
JuliusBrussee/caveman,caveman-commit,opencode
JuliusBrussee/caveman,caveman-help,opencode
JuliusBrussee/caveman,caveman-review,opencode
JuliusBrussee/caveman,caveman,opencode
JuliusBrussee/caveman,caveman-compress,opencode
jeffallan/claude-skills,golang-pro,opencode
jeffallan/claude-skills,laravel-specialist,opencode
microck/ordinary-claude-skills,javascript-testing-patterns,opencode
obra/superpowers,receiving-code-review,opencode
obra/superpowers,requesting-code-review,opencode
remotion-dev/skills,remotion-best-practices,opencode
softaworks/agent-toolkit,lesson-learned,opencode
vercel-labs/agent-browser,agent-browser,opencode
vercel-labs/next-skills,next-best-practices,opencode
vercel-labs/agent-skills,vercel-react-native-skills,opencode
vercel-labs/agent-skills,vercel-react-best-practices,opencode
vercel-labs/agent-skills,web-design-guidelines,opencode
vercel-labs/skills,find-skills,opencode
wshobson/agents,async-python-patterns,opencode
wshobson/agents,modern-javascript-patterns,opencode
wshobson/agents,python-packaging,opencode
wshobson/agents,python-performance-optimization,opencode
wshobson/agents,python-testing-patterns,opencode
wshobson/agents,typescript-advanced-types,opencodegithub/awesome-copilot,command-creator,opencode
github/awesome-copilot,prompt-optimizer,opencode
